story,word,pos,lemma
story1.txt,is,AUX,be
story1.txt,something,PRON,something
story1.txt,at,ADP,at
story1.txt,my,PRON,my
story1.txt,window,NOUN,window
story1.txt,lattice,NOUN,lattice
story1.txt,;,PUNCT,;
story1.txt,"

",SPACE,"

"
story1.txt,Let,VERB,let
story1.txt,me,PRON,I
story1.txt,see,VERB,see
story1.txt,",",PUNCT,","
story1.txt,then,ADV,then
story1.txt,",",PUNCT,","
story1.txt,what,PRON,what
story1.txt,thereat,NOUN,thereat
story1.txt,is,AUX,be
story1.txt,",",PUNCT,","
story1.txt,and,CCONJ,and
story1.txt,this,DET,this
story1.txt,mystery,NOUN,mystery
story1.txt,explore,NOUN,explore
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,Let,VERB,let
story1.txt,my,PRON,my
story1.txt,heart,NOUN,heart
story1.txt,be,AUX,be
story1.txt,still,ADV,still
story1.txt,a,DET,a
story1.txt,moment,NOUN,moment
story1.txt,and,CCONJ,and
story1.txt,this,DET,this
story1.txt,mystery,NOUN,mystery
story1.txt,explore,NOUN,explore
story1.txt,;,PUNCT,;
story1.txt,—,PUNCT,—
story1.txt,"

",SPACE,"

"
story1.txt,’,PUNCT,'
story1.txt,Tis,VERB,tis
story1.txt,the,DET,the
story1.txt,wind,NOUN,wind
story1.txt,and,CCONJ,and
story1.txt,nothing,PRON,nothing
story1.txt,more,ADJ,more
story1.txt,!,PUNCT,!
story1.txt,”,PUNCT,""""
story1.txt,"



",SPACE,"



"
story1.txt,Open,ADJ,open
story1.txt,here,ADV,here
story1.txt,I,PRON,I
story1.txt,flung,VERB,fling
story1.txt,the,DET,the
story1.txt,shutter,NOUN,shutter
story1.txt,",",PUNCT,","
story1.txt,when,SCONJ,when
story1.txt,",",PUNCT,","
story1.txt,with,ADP,with
story1.txt,many,DET,many
story1.txt,a,DET,a
story1.txt,flirt,NOUN,flirt
story1.txt,and,CCONJ,and
story1.txt,flutter,NOUN,flutter
story1.txt,",",PUNCT,","
story1.txt,"

",SPACE,"

"
story1.txt,In,ADP,in
story1.txt,there,ADV,there
story1.txt,stepped,VERB,step
