story,word,pos,lemma
story5.txt,till,SCONJ,till
story5.txt,everything,PRON,everything
story5.txt,was,AUX,be
story5.txt,quiet,ADJ,quiet
story5.txt,again,ADV,again
story5.txt,Zapoikin,PROPN,Zapoikin
story5.txt,stepped,VERB,step
story5.txt,forward,ADV,forward
story5.txt,",",PUNCT,","
story5.txt,turned,VERB,turn
story5.txt,his,PRON,his
story5.txt,eyes,NOUN,eye
story5.txt,on,ADP,on
story5.txt,all,DET,all
story5.txt,present,ADJ,present
story5.txt,",",PUNCT,","
story5.txt,and,CCONJ,and
story5.txt,began,VERB,begin
story5.txt,:,PUNCT,:
story5.txt,"

",SPACE,"

"
story5.txt,“,PUNCT,""""
story5.txt,Can,AUX,can
story5.txt,I,PRON,I
story5.txt,believe,VERB,believe
story5.txt,my,PRON,my
story5.txt,eyes,NOUN,eye
story5.txt,and,CCONJ,and
story5.txt,ears,NOUN,ear
story5.txt,?,PUNCT,?
story5.txt,Is,AUX,be
story5.txt,it,PRON,it
story5.txt,not,PART,not
story5.txt,a,DET,a
story5.txt,terrible,ADJ,terrible
story5.txt,dream,NOUN,dream
story5.txt,this,DET,this
story5.txt,grave,NOUN,grave
story5.txt,",",PUNCT,","
story5.txt,these,DET,these
story5.txt,tear,NOUN,tear
story5.txt,-,PUNCT,-
story5.txt,stained,VERB,stain
story5.txt,faces,NOUN,face
story5.txt,",",PUNCT,","
story5.txt,these,DET,these
story5.txt,moans,NOUN,moan
story5.txt,and,CCONJ,and
story5.txt,lamentations,NOUN,lamentation
story5.txt,?,PUNCT,?
story5.txt,Alas,INTJ,alas
story5.txt,",",PUNCT,","
story5.txt,it,PRON,it
story5.txt,is,AUX,be
story5.txt,not,PART,not
story5.txt,a,DET,a
story5.txt,dream,NOUN,dream
story5.txt,and,CCONJ,and
story5.txt,our,PRON,our
story5.txt,eyes,NOUN,eye
story5.txt,do,AUX,do
story5.txt,not,PART,not
story5.txt,deceive,VERB,deceive
story5.txt,us,PRON,we
story5.txt,!,PUNCT,!
story5.txt,He,PRON,he
story5.txt,whom,PRON,whom
story5.txt,we,PRON,we
story5.txt,have,AUX,have
story5.txt,only,ADV,only
story5.txt,so,ADV,so
story5.txt,lately,ADV,lately
story5.txt,seen,VERB,see
story5.txt,",",PUNCT,","
story5.txt,so,ADV,so
story5.txt,full,ADJ,full
story5.txt,of,ADP,of
story5.txt,courage,NOUN,courage
story5.txt,",",PUNCT,","
story5.txt,so,ADV,so
story5.txt,youthfully,ADV,youthfully
story5.txt,fresh,ADJ,fresh
story5.txt,and,CCONJ,and
story5.txt,pure,ADJ,pure
story5.txt,",",PUNCT,","
story5.txt,who,PRON,who
story5.txt,so,ADV,so
story5.txt,lately,ADV,lately
story5.txt,before,SCONJ,before
story5.txt,our,PRON,our
story5.txt,eyes,NOUN,eye
story5.txt,like,ADP,like
story5.txt,an,DET,an
story5.txt,unwearying,VERB,unwearye
story5.txt,bee,NOUN,bee
story5.txt,bore,VERB,bear
story5.txt,his,PRON,his
story5.txt,honey,NOUN,honey
story5.txt,to,ADP,to
story5.txt,the,DET,the
story5.txt,common,ADJ,common
story5.txt,hive,NOUN,hive
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,welfare,NOUN,welfare
story5.txt,of,ADP,of
story5.txt,the,DET,the
story5.txt,state,NOUN,state
story5.txt,",",PUNCT,","
story5.txt,he,PRON,he
story5.txt,who,PRON,who
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,.,PUNCT,.
story5.txt,he,PRON,he
story5.txt,is,AUX,be
story5.txt,turned,VERB,turn
story5.txt,now,ADV,now
story5.txt,to,ADP,to
story5.txt,dust,NOUN,dust
story5.txt,",",PUNCT,","
story5.txt,to,PART,to
story5.txt,inanimate,VERB,inanimate
story5.txt,mirage,NOUN,mirage
story5.txt,.,PUNCT,.
story5.txt,Inexorable,ADJ,inexorable
story5.txt,death,NOUN,death
story5.txt,has,AUX,have
story5.txt,laid,VERB,lay
story5.txt,his,PRON,his
story5.txt,bony,NOUN,bony
story5.txt,hand,NOUN,hand
story5.txt,upon,SCONJ,upon
story5.txt,him,PRON,he
story5.txt,at,ADP,at
story5.txt,the,DET,the
story5.txt,time,NOUN,time
story5.txt,when,SCONJ,when
story5.txt,",",PUNCT,","
story5.txt,in,ADP,in
